Article,Word,Englisch,PT
der,Basketballverein,Basketball club,Clube de basquete
der,Bauch,belly,barriga
die,Bauchschmerzen,stomach pain,dor de estômago
der,Bauernhof,farm yard,quintal de fazenda
der,Baum,tree,árvore
die,Baustelle,Building site,Construindo um site
die,Behörde,authority,autoridade
das,Bein,leg,perna
das,Beispiel,example,exemplo
der,Berg,Mountain,Montanha
der,Beruf,job,trabalho
die,Berufsberatung,Career guidance,Orientação de carreira
der,Besuch,visit,Visita
der,Betreff,reference,referência
das,Bett,bed,cama
die,Bibliothek,library,biblioteca
das,Bier,beer,Cerveja
das,Bild,image,imagem
die,Birne,pear,pera
die,Bitte,You're welcome,De nada
der,Bleistift,pencil,lápis
der,Blog,Blog,Blog
die,Blume,flower,Flor
die,Bluse,blouse,blusa
der,Bonus,bonus,bônus
das,Bonusheft,Bonus book,Livro de bônus
die,Boutique,boutique,boutique.
die,Brille,glasses,copos
das,Brot,bread,pão
das,Brötchen,bun,bolo
die,Brücke,bridge,Ponte
der,Bruder,Brothers,Irmãos
der,Brunnen,Fountain,Fonte
das,Buch,a book,um livro
der,Buchstabe,Letter,Carta
das,Bürgeramt,citizen office,escritório de cidadão
der,Bürgersteig,sidewalk,calçada
das,Büro,office,escritório
der,Bus,bus,ônibus
die,Busreise,Bus trip,Viagem de ônibus
die,Butter,butter,manteiga
das,Café,Coffee shop,Cafeteria
der,Campingplatz,campsite,acampamento
die,CD,CD,CD
der,Cent,cent,cent.
die,Chance,chance,chance
die,Chips,crisps,crisps.
der,Club,Club,Clube
der,Computer,computer,computador
der,Computerkurs,Computer course,Curso de informática
das,Computerspiel,computer game,Jogo de computador.
der,Cousin,cousin,prima
die,Cousine,cousin,prima
das,Dachgeschoss,Attic,Sótão
der,Damenmantel,Lady's sheath,Bainha da senhora
der,Dank,thanks to,graças a
das,Datum,date,encontro
der,Deutschkurs,German course,curso de alemão
der,Dezember,December,dezembro
der,Dienstag,Tuesday,terça
der,Dienstagabend,Tuesday evening,Terça-feira à noite
der,Dienstagnachmittage,Tuesday afternoons,Terça-feira tardia
der,Dienstagvormittag,Tuesday morning,terça-feira de manhã
das,Ding,thing,coisa
der,Doktor,doctor,doutor
der,Donnerstag,Thursday,quinta-feira
das,Dorf,village,Vila
die,Dose,Tin,Lata
die,Drogerie,Drugstore,Farmácia
der,Durst,thirst,sede
die,EC-Karte,EC card,Cartão CE.
die,Ecke,corner,canto
das,Ei,egg,ovo
die,Eigentumswohnung,Condominium,Condomínio
die,Einbauküche,Equipped kitchen,Cozinha equipada
das,Einfamilienhaus,detached house,moradia
der,Eingang,entry,entrada
der,Einkauf,purchasing,compra
der,Einkaufszettel,Shopping list,Lista de compras
die,Einladung,invitation,convite
der,Einzug,Indent,Recuar
das,Eis,ice cream,sorvete
die,Eltern,parents,pais
die,E-Mail-Addresse,Email-address,Endereço de e-mail
die,Endstation,final destination,Destino final
der,Englischkurs,English course,curso de inglês
das,Enkelkind,Grandchild,Neto
die,Entschuldigung,Excuse me,Com licença
die,Erbse,pea,ervilha
das,Erdgeschoss,ground floor,térreo
die,Erholung,recreation,lazer
die,Erkältung,cold,frio
das,Erlebnis,adventure,aventura
das,Essen,eat,comer
die,Essenzeit,Eating time,Hora de comer
der,Euro,Euro,Euro
der,EU-Staat,EU state,Estado da UE.
der,Fahrgast,passenger,passageiro
die,Fahrkarte,ticket,bilhete
das,Fahrrad,bicycle,bicicleta
der,Fahrradraum,Bicycle room,Sala de bicicleta
die,Fahrt,journey,jornada
die,Familie,family,família
das,Familienfoto,Family photo,Foto de familia
die,Familienkasse,Family fund,Fundo Familiar
das,Familienleben,Family life,Vida familiar
der,Familienname,family name,sobrenome
der,Familienstand,marital status,Estado civil
die,Farbe,colour,cor
der,Februar,February,fevereiro
das,Fehlen,Miss,Senhorita
das,Fenster,window,janela
die,Ferienwohnung,Vacation rental,Aluguel de férias
der,Fernseher,TV,televisão
das,Fest,Fixed,Fixo
das,Festkomitee,Mental committee,Comitê Mental
das,Feuer,Fire,Incêndio
die,Feuerwehr,fire Department,corpo de Bombeiros
das,Fieber,fever,febre
das,Fieberthermometer,Fever thermometer,Termômetro de febre
der,Film,Movie,Filme
der,Finger,finger,dedo
die,Firma,company,empresa
der,Fisch,fish,peixe
die,Flasche,bottle,garrafa
das,Fleisch,meat,eu no
die,Fleischwurst,Meat,Eu no
der,Flohmarkt,flea market,Mercado de pulgas
der,Flughafen,airport,aeroporto
das,Flugzeug,plane,plano
der,Fluss,flow,fluxo
das,Formular,form,Formato
das,Foto,photo,foto
die,Frage,question,pergunta
die,Frau,Mrs,Sra
der,Freitag,Friday,sexta-feira
die,Freizeit,leisure,lazer
die,Frucht,fruit,fruta
der,Frühling,spring,Primavera
das,Früstück,Breakfast,Café da manhã
der,Führerschein,driver's license,carteira de motorista
die,Führerscheinprüfung,Driver's license,Carteira de motorista
der,Fuß,foot,pé
der,Fußball,Football,Futebol americano
das,Fußballtraining,Football training,Treino de futebol
der,Fußballverein,Soccer club,Clube de futebol
das,Fußballspiel,Football game,Jogo de futebol
die,Garage,garage,garagem
der,Garten,garden,Jardim
der,Gast,guest,hóspede
die,Gebühr,fee,taxa
das,Geburstdatum,Birth date,Data de nascimento
der,Geburstsort,Office location,Localização do escritório
die,Geburtsurkunde,Birth certificate,Certidão de nascimento
die,Gehaltsabrechnung,Salary settlement,Liquidação salarial
das,Geld,money,dinheiro
der,Geldautomat,Cash machine,Caixa eletrônico
die,Gemeinde,local community,comunidade local
das,Gemüse,vegetables,legumes
das,Geschäft,shop,fazer compras
die,Geschwister,brothers and sisters,irmãos e irmãs
das,Gespräch,conversation,conversação
die,Gesungheit,Sanctuary,Santuário
die,Gesundheitskarte,Healthcare card,Cartão de saúde
das,Getränk,drink,bebida
das,Glas,Glass,Copo
das,Glück,happiness,felicidade
der,Grad,Degree,Grau
das,Gramm,Gram,Grama
der,Grill,grill,grade
die,Grippe,flu,gripe
die,Größe,size,Tamanho
die,Großeltern,Grandparents,Avós
die,Großmutter,grandmother,avó
die,Großstadt,Big city,Cidade grande
der,Großvater,grandfather,Vovô
der,Gruß,greeting,saudações
die,Gurke,cucumber,pepino
die,Gymnastik,gymnastics,ginástica
das,Hackfleisch,Minced meat,Carne moida
der,Hafen,Harbor,Porto
die,Hafenrundfahrt,Harbour Cruise,Cruzeiro portuário
das,Hähnchen,chicken,frango
der,Hals,throat,garganta
die,Halsschmerzen,Sore throat,Dor de garganta
die,Halstablette,Semi-tablet,Semi-comprimido
die,Haltestelle,bus stop,ponto de ônibus
die,Hand,hand,mão
das,Handy,mobile,Móvel
die,Handynummer,mobile number,número de celular
der,Hauptbanhof,Main banny,Banny principal.
die,Hauptwohnung,Main residence,A residência principal
das,Haus,House,casa
die,Hausarztpraxis,Family practitioner,Praticante de família
die,Hausaufgabe,Homework,Trabalho de casa
die,Hausfrau,Housewife,Dona de casa
die,Hausnummer,House number,Número da casa
der,Hausschuh,Slicer,Slicer.
die,Hausverwaltung,Property management,Gestão da propriedade
das,Heft,notebook,caderno
die,Heimat,homeland,terra natal
das,Heimatland,Homeland,Terra natal
die,Heizung,heater,aquecedor
das,Hemd,shirt,camisa
der,Herbst,autumn,outono
der,Herd,stove,forno
der,Herr,Mr,Sr
die,Herrenbekleidung,Men's clothing,Roupa para Homem
die,Herrenhose,Men's pants,Calças masculinas
das,Hobby,hobby,passatempo
das,Hochhaus,skyscraper,arranha-céu
die,Hochzeit,wedding,Casamento
der,Hof,court,Tribunal
das,Hoffest,Hope,Esperança
die,Höhe,height,altura
der,Honig,honey,mel
die,Hose,trousers,calças
das,Hotel,hotel,hotel
der,Hund,dog,cão
der,Hunger,hunger,fome
der,Husten,cough,tosse
die,IBAN,Iban,Iban.
der,ICE,ICE,GELO
die,Idee,idea,ideia
der,Imbiss,snack,lanche
die,Informationsbrochüre,Information brochure,Brochura de informações
der,Informationsschalter,information desk,balcão de informações
das,Internet,Internet,Internet
die,Jacke,jacket,Jaqueta
die,Jahreszeit,season,temporada
der,Januar,January,Janeiro
die,Jeans,Jeans,Jeans
der,Joghurt,yogurt,iogurte
der,Juli,July,Julho
der,Junge,Young,Novo
der,Juni,June,Junho
der,Kaffee,coffee,café
das,Kaffeehaus,Coffee house,Cafeteria
der,Kakao,cocoa,cacau
der,Kalender,calendar,calendário
die,Kantine,canteen,cantina
die,Kanotour,Canoe,Canoa
die,Karriere,Career,Carreira
die,Kartoffel,potato,batata
der,Käse,cheese,queijo
der,Käsekuchen,Cheesecake,bolo de queijo
die,Käseplatte,Cheese plate,Queijo prato
die,Kasse,cash,dinheiro
der,Kasten,crate,Caixa
das,Kaufhaus,Department store,loja de departamento
der,Kaugummi,chewing gum,goma de mascar
der,Keller,"basement, cellar","cave, adega"
die,Kfz-Zulassung,Car registration,Registro de carro
die,Kfz-Zulassungsstelle,Car registration office,Escritório de registro de carro.
das,Kilo,kilo,quilo
das,Kilogramm,kilogram,quilograma
der,Kilometer,kilometre,quilômetro
das,Kind,child,filho
die,Kinderbetreuung,childcare,Cuchcare.
der,Kindergarten,kindergarten,Jardim da infância
das,Kindergeld,Child benefit,Benefício para criança
der,Kindergeldantrag,Child benefit application,Aplicação de benefício infantil
der,Kinderwagen,stroller,carrinho de criança
die,Kinderheit,Childhood,Infância
das,Kino,movie theater,cinema
der,Kiosk,kiosk,quiosque
die,Kita,Kit,Kit
die,Klasse,Great,Excelente
das,Kleid,a dress,um vestido
die,Kleidung,clothing,confecções
die,Kleinstadt,Town,Cidade
die,Klingel,bell,Sino
das,Klinikum,Clinic,Consultório
die,Kommode,Dresser,Cômoda
die,Konditorei,Pastry,Pastelaria
der,Kontakt,Contact,Contato
der,Kontinent,continent,continente
der,Kontoauszug,statement of account,Declaração de conta
die,Kontonummer,account number,número de conta
die,Kontrolle,control,ao controle
das,Konzert,concert,show
der,Kopf,head,cabeça
die,Kopfschmerzen,headache,dor de cabeça
die,Kopfschmerztablette,Headache tablet,Tablet de dor de cabeça
die,Kopie,Copy,cópia de
der,Körperteil,body part,parte do corpo
das,Krankenhaus,hospital,hospital
die,Krankenkasse,Health insurance,Plano de saúde
die,Krankenschwester,nurse,enfermeira
der,Krankenwagen,ambulance,ambulância
die,Krankschreibung,Sick leave,Atestado médico
die,Krawatte,necktie,gravata
die,Kreuzung,crossing,cruzando
der,Krimi,Thriller,Filme de ação
die,Küche,kitchen,cozinha
der,Kuchen,cake,bolo
der,Kugelschreiber,pen,caneta
der,Kuli,pen,caneta
der,Kühlschrank,refrigerator,frigorífico
der,Kurs,course,curso
die,Kursgebühr,Course fee,Taxa do curso
die,Kursliste,Price list,Lista de preços
der,Krsraum,Crassroom,Sala de carvão
der,Kurstermin,Course,Curso
die,Lage,location,localização
die,Lampe,lamp,luminária
das,Land,country,país
die,Landschaft,landscape,panorama
der,Laptop,Laptop,Computador portátil
die,Laune,mood,humor
das,Leben,Life,Vida
das,Lebensmittel,Food,Comida
die,Leute,people,pessoas
das,Licht,light,luz
die,Lieblingsfarbe,favourite colour,cor favorita
die,Linie,line,linha
der,Liter,liter,litro
der,Lkw,truck,caminhão
das,Mädchen,girl,garota
der,Mai,May,Poderia
der,Mais,Corn,Milho
das,Mal,Times,Vezes
der,Mann,man,cara
der,Mantel,a coat,um casaco
der,Markt,market,mercado
die,Marmelade,jam,geléia
der,März,March,marchar
das,Medikament,drug,medicamento
das,Meer,sea,mar
das,Mehrfamilienhaus,Multi-family house,Casa multi-família
die,Meldestelle,Registration office,Escritório de Registro
der,Mensch,person,pessoa
die,Metzgerei,Butcher's shop,açougue
die,Miete,rent,renda
das,Mietshaus,Tenant,Inquilino
der,Mietvertrag,rental contract,Contrato de aluguel
die,Milkrowelle,Mildrowelle,Mildrowelle.
die,Milch,milk,leite
die,Minute,minute,minuto
der,Mitgliedsbeitrag,Membership fee,Taxa de adesão
der,Mittag,midday,meio dia
das,Mittagessen,Having lunch,Almoçando
die,Mittagspause,lunch break,pausa para o almoço
die,Mitte,center,Centro
der,Mittwoch,Wednesday,quarta-feira
der,Mitwochnachmittag,By-week afternoon,À semana à tarde
die,Möbel,furniture,mobiliário
der,Modeschmuck,Fashion jewelry,Jóias da moda
der,Moment,moment,momento
der,Monat,month,mês
die,Monatskarte,Monthly,Por mês
der,Montag,Monday,Segunda-feira
der,Morgen,morning,manhã
das,Motorrad,motorcycle,motocicleta
der,Müll,rubbish,bobagem
die,Müllabfuhr,Garbage,Lixo
die,Mülltonne,Garbage bin,Lata de lixo
die,Multimedia-Abteilung,Multimedia department,Departamento de Multimídia.
der,Mund,mouth,boca
der,Museumsbesuch,Museum visit,Visita ao museu
die,Musik,music,música
das,Müsli,muesli,muesli.
die,Mutter,mother,mãe
die,Muttersprache,native language,língua nativa
das,Nachbarhaus,neighbour House,casa vizinha
der,Nachmittag,afternoon,tarde
der,Nachname,last name,último nome
die,Nacht,night,noite
der,Nachteil,disadvantage,desvantagem
der,Nachtisch,dessert,sobremesa
die,Nachtschicht,Night shift,Turno da noite
die,Nähe,vicinity,proximidade
der,Name,Surname,Sobrenome
die,Nase,nose,nariz
die,Nationalität,nationality,nacionalidade
die,Nebenkosten,extra costs,custos extras
der,Neffe,nephew,sobrinho
der,Neubau,New building,Nova construção
die,Nichte,niece,sobrinha
der,Norden,north,norte
der,Nordwesten,Northwest,Noroeste
der,Notfall,emergency,emergência
der,Notruf,Emergency call,Ligação de emergência
der,November,November,novembro
die,Nudeln,Noodle,Noodle
die,Nummer,number,número
das,Obergeschoss,Upper floor,Andar de cima
das,Obst,fruit,fruta
das,Ohr,ear,orelha
der,Oktober,October,Outubro
die,Olive,olive,Oliva
der,Onkel,uncle,tio
die,Operation,surgery,cirurgia
die,Orange,orange,laranja
das,Original,original,original
der,Ort,location,localização
der,Osten,east,leste
das,Päckchen,parcel,parcela
die,Packung,pack,pacote
das,Paket,package,pacote
der,Paketdienst,delivery service,serviço de entrega
das,Papier,paper,papel
der,Park,park,Parque
der,Parkplatz,parking spot,vaga de estacionamento
die,Parkzeit,Parking time,Tempo de estacionamento
die,Party,party,Festa
der,Pass,passport,Passaporte
die,Pause,Break,Pausa
die,Pension,pension,pensão
die,Person,person,pessoa
das,Pfund,lb,Libra
das,Picknick,picnic,piquenique
die,Pizza,Pizza,pizza
das,Plakat,poster,poster
der,Platz,place,"Lugar, colocar"
das,Playmobil,Playmobil,Playmobil.
die,Post,post,publicar
die,Postkarte,postcard,cartão postal
die,Postleitzahl,Postal code,Código postal
die,Praxis,practice,prática
das,Problem,problem,problema
der,Pudding,pudding,pudim
der,Pullover,pullover,estacionar
der,Quadratmeter,square meters,metros quadrados
das,Radio,radio,rádio
der,Radiowecker,Clock radio,Rádio relógio
die,Radtour,Cycling tour,Tour de ciclismo
das,Regal,shelf,prateleira
die,Regel,rule,regra
der,Regen,rain,chuva
das,Reinhenhaus,Cleanhouse,CleanHouse
die,Reinigungskraft,cleaning person,Pessoa de limpeza
der,Reis,rice,arroz
die,Reise,trip,viagem
das,Reiseangebote,Travel deals,Ofertas de viagens
das,Reisebüro,Travel agency,Agência de viagens
die,Reservierung,reservation,reserva
der,Rest,rest,descanso
das,Restaurant,restaurant,restaurante
das,Rezept,recipe,receita
die,Richtung,direction,direção
der,Ring,ring,anel
der,Rock,skirt,saia
die,Rolltreppe,Escalator,Escada rolante
der,Rücken,move,mover
die,Rückenschmerzen,Back pain,Dor nas costas
die,Rückfrage,Inquiry,Investigação
die,Rutsche,slide,slide
die,Sache,Thing,Coisa
die,Sachertorte,Sachertorte,SACHERTORTE.
der,Saft,juice,suco
die,Sahne,cream,creme
die,Salami,salami,salame
der,Salat,salad,salada
das,Salz,salt,sal
der,Samstag,Saturday,sábado
der,Samstagabend,Saturday night,sábado à noite
der,Sandkasten,Sandbox,Caixa de areia
die,S-Bahn,Train,Trem
das,Schach,chess,xadrez
das,Schachspiel,Chess game,Jogo de xadrez
der,Scharlach,Scarlet fever,escarlatina
die,Schaukel,Swing,Balanço
die,Scheibe,disc,disco
der,Schnichtdienst,News,Notícia
das,Schiff,ship,enviar
der,Schinken,Ham,presunto
das,Schlafzimmer,bedroom,quarto
das,Schloss,lock,trancar
der,Schlüssel,key,chave
der,Schnee,snow,neve
der,Schnupfen,sniffles,Sniffles
die,Schokolade,chocolate,chocolate
der,Schrank,cabinet,gabinete
der,Schuh,shoe,sapato
die,Schule,school,escola
die,Schwester,sister,irmã
das,Schwimmbad,swimming pool,piscina
der,Secondhandladen,thrift shop,brechós
der,See,lake,Lago
die,Sehenswürdigkeit,Sightseeing,Passeio turístico
die,Seite,page,página
der,September,September,setembro
der,Sessel,chair,cadeira
die,Situation,situation,situação
das,Smartphone,Smartphone,Smartphone
die,Socke,sock,meia
das,Sofa,sofa,sofá
der,Sohn,son,filho
der,Sommer,summer,verão
der,Sommerschlussverkauf,Summer sale,Liquidação de verão
das,Sonderangebot,special offer,oferta especial
die,Sonne,Sun,sol
der,Sonnenschein,sunshine,brilho do sol
die,Sonnenstunde,Sundial,Sundial
der,Sonntag,Sunday,Domigo
der,Sonntagnachmittag,Sunday afternoon,tarde de domingo
die,Spaghetti,spaghetti,espaguete
der,Spaß,fun,Diversão
die,Spezialität,specialty,especialidade
der,Spielplatz,playground,Parque infantil
der,Sport,Sports,Esportes
der,Sportschuh,Sports shoe,Sapato esportivo
die,Sportwaren,Sports goods,Bens esportivos
die,Sprache,language,língua
das,Sprachproblem,Language problem,Problema de linguagem
die,Sprachschule,language school,escola de idiomas
die,Sprechzeiten,Office hours,Horário de expediente
das,Sprechzimmer,Speech,Fala
die,Spüle,kitchen sink,Pia da cozinha
die,Spülmaschine,dishwasher,lava-louças
die,Staatsangehörigkeit,nationality,nacionalidade
die,Stadt,city,cidade
der,Stadtbummel,Stroll,Passeio
die,Städtetour,City tour,Tour da cidade
die,Stadtmitte,Town center,Centro da Cidade
die,Stadtreinigung,City cleaning,Limpeza da cidade
die,Stadtrundfahrt,sightseeing tour,passeio turístico
das,Standesamt,Registry office,Cartório
die,Station,station,estação
die,Stelle,Job,Trabalho
der,Stift,Pen,Caneta
der,Stock,floor,piso
der,Strand,Beach,de praia
die,Straße,Street,rua
die,Straßenbahn,tram,eléctrico
das,Straßenfest,Street party,festa de rua
das,Stück,piece,peça
der,Stuhl,chair,cadeira
die,Stunde,hour,hora
der,Süden,south,Sul
der,Supermarkt,Supermarket,Supermercado
die,Suppe,Soup,Sopa
das,Sweatshirt,sweatshirt,suéter
das,Tablet,Tablet,Tábua
die,Tablette,tablet,tábua
die,Tafel,blackboard,quadro-negro
der,Tag,Day,Dia
die,Tankstelle,Gas station,Posto de gasolina
die,Tante,aunt,tia
die,Tanzparty,Dance party,Festa dançante
die,Tasche,bag,Bolsa
die,Tasse,Cup,xícara
das,Taxiunternehmen,Taxi company,Empresa de táxi.
das,Team,team,equipe
der,Tee,tea,chá
die,Telefonnummer,Phone number,Número de telefone
die,Temperatur,temperature,temperatura
der,Teppich,carpet,tapete
der,Termin,meeting,encontro
die,Terrasse,terrace,terraço
der,Text,text,texto
das,Tier,animal,animal
der,Tipp,tip,gorjeta
der,Tisch,table,tabela
die,Tochter,daughter,filha
die,Toilette,Toilet,Banheiro
die,Tomate,tomato,tomate
die,Tonne,ton,tonelada
der,Traktor,tractor,trator
der,Treffpunkt,meeting point,ponto de encontro
die,Treppe,stairway,escada
das,Treppenhaus,Staircase,Escadaria
das,T-Shirt,T-shirt,camisa
die,Tür,door,porta
die,Tüte,bag,Bolsa
die,U-Bahn,Subway,Metrô
die,U-Bahn-Station,Metro station,estação de metrô
die,Übernachtung,overnight stay,pernoite
die,Überweisung,transfer,transferir
das,Überweisungsformular,Remittance form,Forma de remessa
die,Uhr,clock,relógio
die,Umkleidekabine,changing room,vestiário
der,Umzug,relocation,realocação
der,Umzugskarton,Moving box,Caixa em movimento
der,Unfall,accident,acidente
der,Unterricht,classes,Aulas
der,Unterschied,difference,diferença
die,Unterschrift,signature,assinatura
die,Unterwäsche,underwear,roupa de baixo
der,Urlaub,vacation,período de férias
der,USB-Stick,USB stick,Vareta USB.
der,Vater,father,pai
die,Vereinbarung,agreement,acordo
der,Verkehr,traffic,tráfego
das,Verkehrsmittel,means of transport,meios de transporte
die,Verpackung,packaging,embalagem
die,Verspätung,late arrival,chegada atrasada
das,Viertel,quarter,trimestre
das,Visum,visa,visto
das,Vitamin,vitamin,Vitamina
die,Volkshochschule,Community College,Faculdade Comunitária
die,Vorfahrt,Race,Raça
das,Vorfahrtsschild,Plot,Enredo
der,Vorhang,curtain,cortina
der,Vormittag,morning,manhã
der,Vorname,First name,Primeiro nome
der,Vorteil,advantage,vantagem
die,Vorwahl,prefix,prefixo
der,Wald,Forest,floresta
der,Walzer,waltz,valsa
die,Wand,Wall,muro
die,Wandertour,hiking tour,Excursão para caminhadas
die,Warmmiete,rent including heating,aluguel incluindo aquecimento
die,Wartenummer,Wait number,Número de espera
der,Warteraum,Waiting room,Sala de espera
das,Waschbecken,sink,Pia
die,Waschmaschine,Washing machine,Máquina de lavar
das,Wasser,water,agua
das,Wasserlabyrinth,Water labyrinth,Labirinto de água
der,Wasserweg,Waterway,Via navegável
der,Weg,path,caminho
der,Wein,Wine,Vinho
das,Weißbrot,White bread,pão branco
die,Werkstatt,workshop,oficina
der,Westen,west,Oeste
das,Wetter,weather,clima
die,Wetterkarte,Weather,Clima
die,Wiese,Meadow,Prado
der,Wind,wind,vento
der,Winter,winter,inverno
die,Winterjacke,winter jacket,jaqueta de inverno
der,Winterschlussverkauf,Winter sale,Venda de Inverno
die,Woche,week,semana
das,Wochenende,weekend,final de semana
der,Wohnort,place of residence,local de residência
die,Wohnung,apartment,apartamento
das,Wohnzimmer,living room,sala de estar
die,Wolke,cloud,nuvem
das,Wörterbuch,dictionary,dicionário
der,Wunsch,wish,desejar
die,Wurst,sausage,salsicha
die,Wurstplatte,Sausage plate,Placa de salsicha
die,Zahl,number,número
der,Zahnarzttermin,Dentist appointment,Horário com dentista
die,Zahnbehandlung,Dental treatment,Tratamento dentário
die,Zahnbürste,toothbrush,escova de dente
die,Zahnkontrolle,Tooth control,Controle de dentes
die,Zahnpasta,toothpaste,pasta de dentes
die,Zahnschmerzen,Toothache,Dor de dente
die,Zeit,Time,Tempo
die,Zeitung,newspaper,jornal
die,Zentralheizung,Central heating,Aquecimento central
das,Zimmer,room,sala
der,Zoo,zoo,jardim zoológico
der,Zucker,sugar,açúcar
der,Zug,train,Comboio
die,Zwiebel,onion,cebola
das,Kostüm,,
das,Fest,,
die,Ferien,,
die,Feier,,
der,Feiertag,,
